Email,Full Name,Total Sessions,Last Login,Credential Last Updated
designer2@example.com,Bob Smith,1,2025-02-01 09:20:00,2025-01-02 09:35:00
designer6@example.com,Fiona Apple,1,2025-02-01 13:00:00,2025-01-06 13:50:00
designer7@example.com,George Clooney,1,2025-02-01 14:10:00,2025-01-07 14:35:00
designer10@example.com,Julia Roberts,1,2025-02-01 17:40:00,2025-01-10 17:05:00
designer5@example.com,Edward Norton,1,2025-02-01 12:50:00,2025-01-05 12:05:00
designer8@example.com,Hannah Montana,1,2025-02-01 15:20:00,2025-01-08 15:05:00
designer4@example.com,Diana Prince,1,2025-02-01 11:40:00,2025-01-04 11:20:00
designer9@example.com,Ian McKellen,1,2025-02-01 16:30:00,2025-01-09 16:25:00
designer1@example.com,Alice Johnson,1,2025-02-01 08:10:00,2025-01-01 08:05:00
designer3@example.com,Charlie Brown,1,2025-02-01 10:30:00,2025-01-03 10:05:00
